"","id","name","type","links","acronyms","established_year","created_date","city","city_id","state","ror"
"807","https://ror.org/04wadnc74","Mittal hospital","Healthcare","http://www.mittalhospital.com/","",2003,"2018-11-14","Ajmer",1279159,"Rajasthan","04wadnc74"
"808","https://ror.org/002npz476","Mohak Hitech Speciality Hospital","Healthcare","http://www.mohakhitechhospital.org/","",1999,"2018-11-14","Indore",1269743,"Madhya Pradesh","002npz476"
"809","https://ror.org/000yesh06","Navodaya Dental College and Hospital","Education","http://www.navodaya.edu.in/","",2006,"2018-11-14","Rāichūr",1259012,"Karnataka","000yesh06"
"810","https://ror.org/05d0s2j60","Nazareth Hospital","Healthcare","http://www.nazarethshillong.in/","",1959,"2018-11-14","Shillong",1256523,"Meghalaya","05d0s2j60"
"811","https://ror.org/05bvvtk87","Nehru Gram Bharti University","Education","http://www.ngbu.edu.in/newsite/index.php","NGBU",1996,"2018-11-14","Prayagraj",1278994,"Uttar Pradesh","05bvvtk87"
"812","https://ror.org/03tsk0927","Murshidabad Medical College and Hospital","Education","http://murshidabadmedicalcollege.in/","",2012,"2018-11-14","Baharampur",1277820,"West Bengal","03tsk0927"
"813","https://ror.org/0077bn238","Niloufer Hospital","Healthcare","http://www.nilouferhospital.com/","",1949,"2018-11-14","Hyderabad",1269843,"Telangana","0077bn238"
"814","https://ror.org/0056jcm84","National Hospital","Healthcare","http://www.nationalhospitals.com/#","",2004,"2018-11-14","Kozhikode",1265873,"Kerala","0056jcm84"
"815","https://ror.org/00h2mxm24","Paras Hospitals","Healthcare","http://www.parashospitals.com/","",2006,"2018-11-14","Gurugram",1270642,"Haryana","00h2mxm24"
"816","https://ror.org/04y7frr04","PriMove Infrastructure Development Consultants (India)","Company","http://www.primoveindia.com/","",1994,"2018-11-14","Pune",1259229,"Maharashtra","04y7frr04"
"817","https://ror.org/00j4fqt27","National Neurosciences Centre","Healthcare","http://www.nnccalcutta.com/","NNC",1997,"2018-11-14","Kolkata",1275004,"West Bengal","00j4fqt27"
"818","https://ror.org/031870q06","Orchid Pharma (India)","Company","http://www.orchidpharma.com/","",1992,"2018-11-14","Chennai",1264527,"Tamil Nadu","031870q06"
"819","https://ror.org/03q9tge24","Sai Nath University","Education","http://www.sainathuniversity.com/index.asp","",2012,"2018-11-14","Ranchi",1258526,"Jharkhand","03q9tge24"
"820","https://ror.org/052frf812","Shanmuganathan Engineering College","Education","http://shanmuganathanengg.in/","",NA,"2018-11-14","Karaikudi",1267885,"Tamil Nadu","052frf812"
"821","https://ror.org/01zb5kv44","Rajagiri Hospital","Healthcare","http://www.rajagirihospital.com/","",NA,"2018-11-14","Ernakulam",1273874,"Kerala","01zb5kv44"
"822","https://ror.org/02vhyd254","Rama University","Education","http://www.ramauniversity.ac.in/","",2014,"2018-11-14","Kanpur",1267995,"Uttar Pradesh","02vhyd254"
"823","https://ror.org/00jrxyr16","Santokba Durlabhji Memorial hospital","Healthcare","http://sdmh.in/","SDMH",1971,"2018-11-14","Jaipur",1269515,"Rajasthan","00jrxyr16"
"824","https://ror.org/02333k624","St. Joseph Dental College","Healthcare","http://sjdc.in/","",2002,"2018-11-14","Eluru",1272051,"Andhra Pradesh","02333k624"
"825","https://ror.org/05kqjh845","Smt. Kashibai Navale Medical College and General hospital","Education","http://www.sknmcgh.org/","",2006,"2018-11-14","Pune",1259229,"Maharashtra","05kqjh845"
"826","https://ror.org/011nk9770","Shri Ramswaroop Memorial University","Education","http://srmu.ac.in/","SRMU",1999,"2018-11-14","Lucknow",1264733,"Uttar Pradesh","011nk9770"
"827","https://ror.org/05xe6ep17","Satguru Partap Singh Hospital","Healthcare","http://spshospitals.com/","",2005,"2018-11-14","Ludhiana",1264728,"Punjab","05xe6ep17"
"828","https://ror.org/01cay9k79","Sri Ramachandra Medical Centre","Healthcare","http://www.sriramachandra.edu.in/medical/","SRMC",1985,"2018-11-14","Chennai",1264527,"Tamil Nadu","01cay9k79"
"829","https://ror.org/04q18mv54","Sugarcane Breeding Institute","Facility","http://www.sugarcane.res.in/","",1932,"2018-11-14","Coimbatore",1273865,"Tamil Nadu","04q18mv54"
"830","https://ror.org/04x762r03","Sri Sai Super Speciality Hospital","Healthcare","http://www.srisaihospital.com/","",1999,"2018-11-14","Morādābād",1262801,"Uttar Pradesh","04x762r03"
"831","https://ror.org/00aw48305","Sri Venkateswara Veterinary University","Education","http://svvu.edu.in/","SVVU",2005,"2018-11-14","Tirupati",1254360,"Andhra Pradesh","00aw48305"
"832","https://ror.org/001wtjx27","Tata Steel (India)","Company; Funder","http://www.tatasteel.com/","TISCO",1907,"2018-11-14","Mumbai",1275339,"Maharashtra","001wtjx27"
"833","https://ror.org/032yhrq65","Mission Hospital Durgapur","Healthcare","http://www.themissionhospital.com/","",NA,"2018-11-14","Asansol",1278314,"West Bengal","032yhrq65"
"834","https://ror.org/047vmpf34","Oxford Educational Institutions","Education","http://www.theoxford.edu/","",1992,"2018-11-14","Bengaluru",1277333,"Karnataka","047vmpf34"
"835","https://ror.org/01nj2eb64","Welspun (India)","Company","http://www.welspun.com/","",1985,"2018-11-14","Mumbai",1275339,"Maharashtra","01nj2eb64"
"836","https://ror.org/03gd0pk10","Yashoda Hospital","Healthcare","https://www.yashodahospitals.com","",1989,"2018-11-14","Secunderabad",1256922,"Telangana","03gd0pk10"
"837","https://ror.org/03qa8qv52","Dr. H. Gordon Roberts Hospital","Healthcare","http://robertshosp.org/","",1922,"2018-11-14","Shillong",1256523,"Meghalaya","03qa8qv52"
"838","https://ror.org/03zc07z23","Durgabai Deshmukh Hospital","Healthcare","http://amsdd.org.in/ams-dr-durgabai-deshmukh-hospital-research-centre-2/","",1962,"2018-11-14","Hyderabad",1269843,"Telangana","03zc07z23"
"839","https://ror.org/048wdxr20","Sarojini Devi Eye Hospital","Healthcare","","",NA,"2018-11-14","Hyderabad",1269843,"Telangana","048wdxr20"
"840","https://ror.org/00a1sfb75","Fhrai Institute of Hospitality Management","Education","http://www.fhraiinstitute.com/","FHRAI IHM",2005,"2018-11-14","Greater Noida",6954929,"Uttar Pradesh","00a1sfb75"
"841","https://ror.org/02kzvnr24","Senate of Serampore College","Education","http://www.senateofseramporecollege.edu.in/","",1818,"2018-11-14","Serampore",1256422,"West Bengal","02kzvnr24"
"842","https://ror.org/00evszt20","Ford Hospital and Research Centre","Healthcare","http://www.fordhospital.org/","FHRC",2008,"2018-11-14","Patna",1260086,"Bihar","00evszt20"
"843","https://ror.org/040y5k757","Seventh day Adventist Hospital","Healthcare","http://www.osdah.org/","",1969,"2018-11-14","Ottapalam",1261008,"Kerala","040y5k757"
"844","https://ror.org/01cce5t38","Silchar Medical College and Hospital","Healthcare","http://smcassam.gov.in/","SMCH",1968,"2018-11-14","Silchar",1256287,"Assam","01cce5t38"
"845","https://ror.org/04gcrjz11","Sir Sunderlal Hospital","Healthcare","http://www.bhu.ac.in/ims/hospital/opdschm.htm","",1926,"2018-11-14","Varanasi",1253405,"Uttar Pradesh","04gcrjz11"
"846","https://ror.org/027r49s81","Fortis Malar Hospital","Healthcare","http://www.fortismalar.com/","",1991,"2018-11-14","Chennai",1264527,"Tamil Nadu","027r49s81"
"847","https://ror.org/03nyhx379","General Hospital Ernakulam","Healthcare","http://www.generalhospitalernakulam.com/","",1845,"2018-11-14","Ernakulam",1273874,"Kerala","03nyhx379"
"848","https://ror.org/00dc48k09","Sri Narayani Hospital & Research Centre","Healthcare","http://www.narayanihospital.org/","",NA,"2018-11-14","Vellore",1253286,"Tamil Nadu","00dc48k09"
"849","https://ror.org/05ghtc147","St. George Hospital","Healthcare","http://www.stgeorgeshospital.in/","",1892,"2018-11-14","Mumbai",1275339,"Maharashtra","05ghtc147"
"850","https://ror.org/018nk4a27","Global Open University","Education","http://www.nagaland.net.in/","TGOU",2005,"2018-11-14","Dimāpur",1272552,"Nagaland","018nk4a27"
"851","https://ror.org/04pc6dy04","St. Theresa’s Multi-Speciality Hospital","Healthcare","https://saint-theresas-hospital.business.site/","",1960,"2018-11-14","Hyderabad",1269843,"Telangana","04pc6dy04"
"852","https://ror.org/05ffh3h97","Government ENT Hospital","Healthcare","http://www.telangana.gov.in/contacts/hospitals","",1955,"2018-11-14","Hyderabad",1269843,"Telangana","05ffh3h97"
"853","https://ror.org/01v5rq776","Swami Pranavananda Homoeopathic Medical College and Hospital","Healthcare","http://www.sphmedicalcollege.com/about_us.php","",1967,"2018-11-14","Chhatarpur",1274337,"Madhya Pradesh","01v5rq776"
"854","https://ror.org/05jdk6x63","Government Nizamia General Hospital","Healthcare","","",1938,"2018-11-14","Hyderabad",1269843,"Telangana","05jdk6x63"
"855","https://ror.org/03m340337","Tamil Nadu Government Multi Super Speciality Hospital","Healthcare","http://www.tngmssh.tn.gov.in/","",2008,"2018-11-14","Chennai",1264527,"Tamil Nadu","03m340337"
"856","https://ror.org/00cwj5e90","Government Royapettah Hospital","Healthcare","http://royapettahhospital.com/","",1911,"2018-11-14","Chennai",1264527,"Tamil Nadu","00cwj5e90"
"857","https://ror.org/01kdvbn15","Anugrah Narayan Magadh Medical College & Hospital","Healthcare","http://www.anmmc.bih.nic.in/","ANMMCH",1969,"2018-11-14","Gaya",1271439,"Bihar","01kdvbn15"
"858","https://ror.org/05fa5qm36","Tibetan Delek Hospital","Healthcare","http://www.delekhospital.org/delek","",1971,"2018-11-14","Dharamsala",1272832,"Himachal Pradesh","05fa5qm36"
"859","https://ror.org/058bst240","Hamidia Hospital","Healthcare","http://www.gmcbhopal.net/history.asp","",1927,"2018-11-14","Bhopal",1275841,"Madhya Pradesh","058bst240"
"860","https://ror.org/03ta7wx62","Hi-Tech Medical College & Hospital","Education","http://hi-techmedical.org/index.php","HMCH",2005,"2018-11-14","Bhubaneswar",1275817,"Odisha","03ta7wx62"
"861","https://ror.org/008nfm327","Aditya Jyot Eye Hospital","Healthcare","http://www.adityajyoteyehospital.org/","AJEH",1990,"2018-11-14","Mumbai",1275339,"Maharashtra","008nfm327"
"862","https://ror.org/048ke3y07","Hindu Mission Hospital","Healthcare","http://hindumissionhospital.in/","",1982,"2018-11-14","Chennai",1264527,"Tamil Nadu","048ke3y07"
