"","State","Year","HDI"
"236","Chhattisgarh",2015,0.586
"237","Chhattisgarh",2016,0.597
"238","Chhattisgarh",2017,0.607
"239","Chhattisgarh",2018,0.611
"240","Chhattisgarh",2019,0.618
"241","Chhattisgarh",2020,0.618
"242","Chhattisgarh",2021,0.613
"243","Chhattisgarh",2022,0.625
"244","Chhattisgarh",2023,0.6285
"245","Chhattisgarh",2024,0.632
"246","Dadra and Nagar Haveli",1990,0.672
"247","Dadra and Nagar Haveli",1991,0.676
"248","Dadra and Nagar Haveli",1992,0.682
"249","Dadra and Nagar Haveli",1993,0.68
"250","Dadra and Nagar Haveli",1994,0.676
"251","Dadra and Nagar Haveli",1995,0.673
"252","Dadra and Nagar Haveli",1996,0.672
"253","Dadra and Nagar Haveli",1997,0.67
"254","Dadra and Nagar Haveli",1998,0.669
"255","Dadra and Nagar Haveli",1999,0.67
"256","Dadra and Nagar Haveli",2000,0.672
"257","Dadra and Nagar Haveli",2001,0.673
"258","Dadra and Nagar Haveli",2002,0.676
"259","Dadra and Nagar Haveli",2003,0.687
"260","Dadra and Nagar Haveli",2004,0.693
"261","Dadra and Nagar Haveli",2005,0.699
"262","Dadra and Nagar Haveli",2006,0.706
"263","Dadra and Nagar Haveli",2007,0.701
"264","Dadra and Nagar Haveli",2008,0.695
"265","Dadra and Nagar Haveli",2009,0.687
"266","Dadra and Nagar Haveli",2010,0.685
"267","Dadra and Nagar Haveli",2011,0.687
"268","Dadra and Nagar Haveli",2012,0.684
"269","Dadra and Nagar Haveli",2013,0.673
"270","Dadra and Nagar Haveli",2014,0.665
"271","Dadra and Nagar Haveli",2015,0.655
"272","Dadra and Nagar Haveli",2016,0.647
"273","Dadra and Nagar Haveli",2017,0.64
"274","Dadra and Nagar Haveli",2018,0.628
"275","Dadra and Nagar Haveli",2019,0.618
"276","Dadra and Nagar Haveli",2020,0.618
"277","Dadra and Nagar Haveli",2021,0.613
"278","Dadra and Nagar Haveli",2022,0.624
"279","Dadra and Nagar Haveli",2023,0.623
"280","Dadra and Nagar Haveli",2024,0.622
"281","Daman and Diu",1990,0.651
"282","Daman and Diu",1991,0.656
"283","Daman and Diu",1992,0.663
"284","Daman and Diu",1993,0.658
"285","Daman and Diu",1994,0.654
"286","Daman and Diu",1995,0.652
"287","Daman and Diu",1996,0.651
"288","Daman and Diu",1997,0.65
"289","Daman and Diu",1998,0.65
"290","Daman and Diu",1999,0.651
"291","Daman and Diu",2000,0.654
"292","Daman and Diu",2001,0.654
"293","Daman and Diu",2002,0.657
"294","Daman and Diu",2003,0.668
"295","Daman and Diu",2004,0.673
"296","Daman and Diu",2005,0.679
"297","Daman and Diu",2006,0.685
"298","Daman and Diu",2007,0.681
"299","Daman and Diu",2008,0.675
"300","Daman and Diu",2009,0.668
"301","Daman and Diu",2010,0.666
"302","Daman and Diu",2011,0.669
"303","Daman and Diu",2012,0.666
"304","Daman and Diu",2013,0.669
"305","Daman and Diu",2014,0.677
"306","Daman and Diu",2015,0.682
"307","Daman and Diu",2016,0.69
"308","Daman and Diu",2017,0.686
"309","Daman and Diu",2018,0.676
"310","Daman and Diu",2019,0.668
"311","Daman and Diu",2020,0.668
"312","Daman and Diu",2021,0.662
"313","Daman and Diu",2022,0.674
"314","Daman and Diu",2023,0.6735
"315","Daman and Diu",2024,0.673
"316","Delhi",1990,0.581
"317","Delhi",1991,0.585
"318","Delhi",1992,0.592
"319","Delhi",1993,0.598
"320","Delhi",1994,0.606
"321","Delhi",1995,0.614
"322","Delhi",1996,0.624
"323","Delhi",1997,0.633
"324","Delhi",1998,0.642
"325","Delhi",1999,0.653
"326","Delhi",2000,0.656
"327","Delhi",2001,0.658
"328","Delhi",2002,0.661
"329","Delhi",2003,0.671
"330","Delhi",2004,0.677
"331","Delhi",2005,0.683
"332","Delhi",2006,0.689
"333","Delhi",2007,0.694
"334","Delhi",2008,0.695
"335","Delhi",2009,0.695
"336","Delhi",2010,0.699
"337","Delhi",2011,0.708
"338","Delhi",2012,0.711
"339","Delhi",2013,0.713
